score_percent,title,company,location,matched_skills,url
10.0,Software Development Engineer for Automation,"Digital Room (Philippines) , Inc.",,Automation,https://ph.jobstreet.com/job/92629749?type=standard&ref=search-standalone&origin=cardTitle#sol=302ea69565198b5a8db24ae7f9efc58d0155f9b5
10.0,Data Engineer (Hybrid),"BTI Payments (Philippines), Inc.",,Reporting,https://ph.jobstreet.com/job/93116435?type=standard&ref=search-standalone&origin=cardTitle#sol=a44f6b3a24302cc515dc8ec83c0b9c3324e2dca5
10.0,AI/Automation Specialist - Web Development Company,Private Advertiser,,Automation,https://ph.jobstreet.com/job/89155264?type=standard&ref=search-standalone&origin=cardTitle#sol=3d616c513d5beb3500f2625b4f17ad48437b5b1f
10.0,AI/Automation Specialist - Web Development Company,Private Advertiser,,Automation,https://ph.jobstreet.com/job/92586131?type=standard&ref=search-standalone&origin=cardTitle#sol=5b281e5fcc5f62db9c0889c2d74af0d22ca2fde1
10.0,Full Stack Engineer - Contractor (Night Shift),"Eclaro Business Solutions, Inc",,Python,https://ph.jobstreet.com/job/92602993?type=standard&ref=search-standalone&origin=cardTitle#sol=3a6d45dc2742cc9e99afeda527c8da9c7b8d815b
10.0,Full Stack Developer (Python and React),Encora Management Services Philippines Inc.,,Python,https://ph.jobstreet.com/job/92616565?type=standard&ref=search-standalone&origin=cardTitle#sol=891a80784a37213947cc6c6fd9658ddc35eb39df
10.0,AI/Automation Specialist - Web Development Company,Private Advertiser,,Automation,https://ph.jobstreet.com/job/92585986?type=standard&ref=search-standalone&origin=cardTitle#sol=081741c1dfdfb3fa051654f3fbbd158e29b3a42b
0.0,Software Engineer,Markem-Imaje Asia Pacific,,,https://ph.jobstreet.com/job/93098295?type=standard&ref=search-standalone&origin=cardTitle#sol=3e432419c5fe41d57d47bcc948d9825e534328ff
0.0,Full Stack Developer,Celon Group Limited,,,https://ph.jobstreet.com/job/93092592?type=standard&ref=search-standalone&origin=cardTitle#sol=3eeb1b69950dc16c80f767bf34d5c0bbf8b0cda2
0.0,Support Developer || Permanent WFH || AU Hours,OutForce Inc.,,,https://ph.jobstreet.com/job/93001513?type=standard&ref=search-standalone&origin=cardTitle#sol=6e4f5dd73aa4737bb5b20fc2b83d119fd6753eac
0.0,Software Engineer,Likha-iT Inc.,,,https://ph.jobstreet.com/job/93056440?type=standard&ref=search-standalone&origin=cardTitle#sol=d76a531aca99e22a816b8e946487aa0ac8ed9c79
0.0,Software Engineer – AI Coding Evaluation Project,"Ebit Co., Ltd",,,https://ph.jobstreet.com/job/92624211?type=standard&ref=search-standalone&origin=cardTitle#sol=eb1a2b43e4e49714c548c25f543045d73cb91ca7
0.0,Lead Full Stack Developer,Celon Group Limited,,,https://ph.jobstreet.com/job/93092518?type=standard&ref=search-standalone&origin=cardTitle#sol=1697c1ca2bd07b7d1e5033c48846ab325dcdf01b
0.0,Data Engineer (day shift),Colcap Servicing Pty Ltd - Philippine Branch Office,,,https://ph.jobstreet.com/job/93115281?type=standard&ref=search-standalone&origin=cardTitle#sol=ec9cbeeaddd75218dc1cb37af986428ea4afd40c
0.0,AI Software Engineer | Work From Home,Eskilled Inc.,,,https://ph.jobstreet.com/job/92970890?type=standard&ref=search-standalone&origin=cardTitle#sol=1410c0408c214f70b2e756e20e85edfeffdce573
0.0,Software Developer,"Crystal Steel Fabricators Phils., Inc",,,https://ph.jobstreet.com/job/93002138?type=standard&ref=search-standalone&origin=cardTitle#sol=ed731b8a7e91c5297859cafa7b3ec2d9482ac397
0.0,IT Developer/Programmer,"Nezda Technologies, Inc.",,,https://ph.jobstreet.com/job/92886288?type=standard&ref=search-standalone&origin=cardTitle#sol=f933fd5f8c1e1f55e6c34f9d171dc26de3a407d4
0.0,Jr. Data Engineer,Allegis Global Solutions (Philippines) Corporation,,,https://ph.jobstreet.com/job/92805867?type=standard&ref=search-standalone&origin=cardTitle#sol=03ed3789cee3595a33f06b169f79ed7572ed7599
0.0,Backend PHP Developer - 923310 (REMOTE-PH),Expansion International Group Ltd,,,https://ph.jobstreet.com/job/93090931?type=standard&ref=search-standalone&origin=cardTitle#sol=d17486682838cc605b60a3cf20a50ca5393fe179
0.0,Data Engineer,DATAIQ,,,https://ph.jobstreet.com/job/93046270?type=standard&ref=search-standalone&origin=cardTitle#sol=25ef93f02c639a41d4482ac5be717c76d9fb6124
0.0,Software Developer (Java / .NET / Node.js) | Multiple Openings,"ACCION LABS PHILIPPINES, INC.",,,https://ph.jobstreet.com/job/92963723?type=standard&ref=search-standalone&origin=cardTitle#sol=3110209bdae16947c170f0b21c3a26d77bf7e4e8
0.0,AI Software Developer,Asurion,,,https://ph.jobstreet.com/job/92702039?type=standard&ref=search-standalone&origin=cardTitle#sol=16627f6a6fc79d3e95513da64909865cda39f50c
0.0,Software Development Engineer (SDE),"Vertere Global Solutions, Inc.",,,https://ph.jobstreet.com/job/93106569?type=standard&ref=search-standalone&origin=cardTitle#sol=e9f0c40a8200c07d93aa5170145ad9ed3cc92533
0.0,Business Application Developer,SUMO Services Corporation,,,https://ph.jobstreet.com/job/92766875?type=standard&ref=search-standalone&origin=cardTitle#sol=0ee87aef9c149ae0680f44d42fcbff9c0011030a
0.0,Data Engineer,"OmniQuest, Inc.",,,https://ph.jobstreet.com/job/92509221?type=standard&ref=search-standalone&origin=cardTitle#sol=c5390c75c6cb583efb566c0b1474cdff15299924
0.0,Programmer Analyst,iCare HMO,,,https://ph.jobstreet.com/job/92581809?type=standard&ref=search-standalone&origin=cardTitle#sol=36dd6ef2fdeebe6fba879a536f321057bef501d3
0.0,Data Engineer – 6 Month Contract,YBR Mortgages Philippines Inc,,,https://ph.jobstreet.com/job/92889843?type=standard&ref=search-standalone&origin=cardTitle#sol=0f307f401062ed266665717212e199ee7c91b1f3
0.0,Prepress AI Specialist,"Digital Room (Philippines) , Inc.",,,https://ph.jobstreet.com/job/92823171?type=standard&ref=search-standalone&origin=cardTitle#sol=4f38bffe43ee26a0608315607f0f07d3cd274f80
0.0,Senior Data Engineer,"MED-METRIX INTERNATIONAL PH-I, INC.",,,https://ph.jobstreet.com/job/93091361?type=standard&ref=search-standalone&origin=cardTitle#sol=907ac46d2fde45e894d290d40c234dfda1f0bb1b
0.0,Data Scientist,"ACEN Shared Services, Inc.",,,https://ph.jobstreet.com/job/93116333?type=standard&ref=search-standalone&origin=cardTitle#sol=9bccb122dd2eb616e23f235a8f4ae35c02b9f1c4
0.0,PRINCIPAL DATA ENABLEMENT ENGINEER,"Deltek Systems (Philippines), Ltd.",,,https://ph.jobstreet.com/job/93028387?type=standard&ref=search-standalone&origin=cardTitle#sol=8c37c3ada2329a9f27eac0987f434d3aca80a2de
0.0,AI Solutions Developer (Full-Stack),"eCloudvalley Technology (Philippines), Inc",,,https://ph.jobstreet.com/job/92869495?type=standard&ref=search-standalone&origin=cardTitle#sol=b3a675fea800f177f46557a26775c941e396a17d
